PLCY_DTL_ID,CUST_ID,PLCY_NO,PLCY_STRT_DT,PLCY_END_DT,PLCY_PREMIUM_AMT,PLCY_PAYMENT_STATUS,PLCY_CLAIM_LIMIT,RISK_LEVEL,BUSINESS_TYPE
1083,3639,COF5280556,2025-08-03,2026-08-03,1935.58,Paid,8000.0,Low,Consulting
1084,3640,COF4685007,2010-11-21,2011-11-21,1871.98,Paid,8000.0,Low,Consulting
1085,3641,COF4031967,2007-07-02,2008-07-01,1466.96,Paid,8000.0,Low,Financial Services
1086,3642,COF5570585,2020-06-02,2021-06-02,3840.4,Paid,10000.0,Medium,Entertainment Group
1087,3643,COF5675262,2016-01-27,2017-01-26,1200.24,Delinquent,8000.0,Low,Consulting
1088,3644,COF2287642,2012-03-03,2013-03-03,4895.22,Paid,10000.0,Medium,Education
1089,3644,COF8864968,2013-03-04,2014-03-04,4369.37,Paid,10000.0,Medium,Education
1090,3645,COF2317663,2007-12-04,2008-12-03,1911.03,Paid,8000.0,Low,Financial Services
1091,3646,COF9116730,2021-04-07,2022-04-07,3087.39,Delinquent,10000.0,Medium,Global Trade
1092,3647,COF2185815,2007-12-22,2008-12-21,1570.07,Paid,8000.0,Low,Technology Solutions
1093,3648,COF1549563,2015-06-01,2016-05-31,1524.28,Paid,8000.0,Low,Technology Solutions
1094,3648,COF5323592,2016-06-01,2017-06-01,1931.01,Paid,8000.0,Low,Technology Solutions
1095,3648,COF1599306,2017-06-02,2018-06-02,1498.57,Paid,8000.0,Low,Technology Solutions
1096,3649,COF7991331,2015-02-04,2016-02-04,6963.05,Paid,12000.0,High,Energy Systems
1097,3649,COF2613692,2016-02-05,2017-02-04,7190.82,Delinquent,12000.0,High,Energy Systems
1098,3650,COF6905647,2007-05-01,2008-04-30,6028.38,Paid,12000.0,High,Transportation
1099,3651,COF2616292,2016-09-06,2017-09-06,4547.43,Paid,10000.0,Medium,Entertainment Group
1100,3652,COF9430050,2008-08-24,2009-08-24,1358.45,Paid,8000.0,Low,Financial Services
1101,3652,COF1642957,2009-08-25,2010-08-25,1877.41,Paid,8000.0,Low,Financial Services
1102,3652,COF5296648,2010-08-26,2011-08-26,1241.87,Paid,8000.0,Low,Financial Services
1103,3653,COF1148021,2012-01-08,2013-01-07,1557.42,Paid,8000.0,Low,Financial Services
1104,3653,COF3853666,2013-01-08,2014-01-08,1407.03,Paid,8000.0,Low,Financial Services
1105,3654,COF3176087,2024-02-01,2025-01-31,1402.96,Paid,8000.0,Low,Technology Solutions
1106,3654,COF7286559,2025-02-01,2026-02-01,1060.96,Paid,8000.0,Low,Technology Solutions
1107,3654,COF2596452,2026-02-02,2027-02-02,1787.87,Paid,8000.0,Low,Technology Solutions
1108,3655,COF8935078,2022-05-11,2023-05-11,1343.65,Paid,8000.0,Low,Financial Services
1109,3655,COF4284966,2023-05-12,2024-05-11,1706.44,Paid,8000.0,Low,Financial Services
1110,3655,COF6603119,2024-05-12,2025-05-12,1316.77,Paid,8000.0,Low,Financial Services
1111,3656,COF5062614,2017-08-06,2018-08-06,3718.91,Paid,10000.0,Medium,Global Trade
1112,3657,COF5026376,2017-03-23,2018-03-23,1838.06,Paid,8000.0,Low,Technology Solutions
1113,3657,COF6689333,2018-03-24,2019-03-24,1435.75,Paid,8000.0,Low,Technology Solutions
1114,3657,COF4501828,2019-03-25,2020-03-24,1449.43,Paid,8000.0,Low,Technology Solutions
1115,3658,COF6320693,2011-07-13,2012-07-12,1298.13,Paid,8000.0,Low,Financial Services
1116,3658,COF1471668,2012-07-13,2013-07-13,1397.45,Paid,8000.0,Low,Financial Services
1117,3659,COF8969311,2010-05-09,2011-05-09,1470.29,Paid,8000.0,Low,Technology Solutions
1118,3660,COF3807623,2019-10-10,2020-10-09,1543.69,Paid,8000.0,Low,Financial Services
1119,3661,COF5030636,2015-08-06,2016-08-05,4899.34,Paid,10000.0,Medium,Entertainment Group
1120,3661,COF3365074,2016-08-06,2017-08-06,4094.89,Paid,10000.0,Medium,Entertainment Group
1121,3661,COF4455601,2017-08-07,2018-08-07,4875.63,Paid,10000.0,Medium,Entertainment Group
1122,3662,COF1811183,2012-01-16,2013-01-15,4728.09,Paid,10000.0,Medium,Entertainment Group
1123,3663,COF1704140,2018-02-23,2019-02-23,1030.69,Paid,8000.0,Low,Technology Solutions
1124,3664,COF4373521,2021-03-16,2022-03-16,7725.34,Paid,12000.0,High,Manufacturing
1125,3664,COF9122640,2022-03-17,2023-03-17,7834.74,Delinquent,12000.0,High,Manufacturing
1126,3665,COF7733918,2020-07-25,2021-07-25,1216.72,Delinquent,8000.0,Low,Technology Solutions
1127,3665,COF3546205,2021-07-26,2022-07-26,1633.64,Paid,8000.0,Low,Technology Solutions
1128,3666,COF2434418,2017-09-13,2018-09-13,7222.17,Paid,12000.0,High,Healthcare Partners
1129,3667,COF9345894,2011-10-09,2012-10-08,1941.22,Delinquent,8000.0,Low,Financial Services
1130,3667,COF2263621,2012-10-09,2013-10-09,1234.64,Paid,8000.0,Low,Financial Services
1131,3667,COF9964366,2013-10-10,2014-10-10,1764.1,Paid,8000.0,Low,Financial Services
1132,3668,COF9326503,2011-03-27,2012-03-26,3020.79,Paid,10000.0,Medium,Global Trade
1133,3668,COF1517515,2012-03-27,2013-03-27,3133.34,Paid,10000.0,Medium,Global Trade
1134,3669,COF8304184,2012-06-18,2013-06-18,1416.2,Paid,8000.0,Low,Financial Services
1135,3669,COF4212648,2013-06-19,2014-06-19,1750.68,Paid,8000.0,Low,Financial Services
1136,3670,COF5355971,2020-07-17,2021-07-17,4478.9,Paid,10000.0,Medium,Global Trade
1137,3670,COF4628109,2021-07-18,2022-07-18,3033.62,Paid,10000.0,Medium,Global Trade
1138,3671,COF1145859,2009-04-12,2010-04-12,1457.74,Paid,8000.0,Low,Technology Solutions
1139,3672,COF1840532,2010-10-17,2011-10-17,4595.47,Paid,10000.0,Medium,Retail Group
1140,3672,COF9652266,2011-10-18,2012-10-17,4382.33,Paid,10000.0,Medium,Retail Group
1141,3673,COF5424299,2013-05-15,2014-05-15,6697.09,Delinquent,12000.0,High,Construction
1142,3674,COF4763507,2021-03-19,2022-03-19,1296.92,Paid,8000.0,Low,Financial Services
1143,3674,COF9365600,2022-03-20,2023-03-20,1600.58,Paid,8000.0,Low,Financial Services
1144,3674,COF9730412,2023-03-21,2024-03-20,1500.09,Paid,8000.0,Low,Financial Services
1145,3675,COF7662924,2021-07-10,2022-07-10,1094.33,Paid,8000.0,Low,Consulting
1146,3675,COF5935870,2022-07-11,2023-07-11,1911.11,Paid,8000.0,Low,Consulting
1147,3675,COF3211724,2023-07-12,2024-07-11,1037.75,Paid,8000.0,Low,Consulting
1148,3676,COF9521038,2009-11-06,2010-11-06,1507.17,Paid,8000.0,Low,Consulting
1149,3677,COF4577000,2009-03-01,2010-03-01,1578.46,Paid,8000.0,Low,Consulting
1150,3677,COF6586029,2010-03-02,2011-03-02,1876.54,Paid,8000.0,Low,Consulting
1151,3678,COF8490314,2008-04-30,2009-04-30,1874.37,Paid,8000.0,Low,Consulting
1152,3678,COF7734146,2009-05-01,2010-05-01,1635.12,Paid,8000.0,Low,Consulting
1153,3678,COF4396852,2010-05-02,2011-05-02,1807.52,Paid,8000.0,Low,Consulting
1154,3679,COF4490392,2010-01-29,2011-01-29,1226.82,Paid,8000.0,Low,Technology Solutions
1155,3680,COF7972712,2024-10-30,2025-10-30,3481.33,Paid,10000.0,Medium,Entertainment Group
1156,3681,COF1530109,2023-07-31,2024-07-30,1867.78,Paid,8000.0,Low,Technology Solutions
1157,3681,COF8923877,2024-07-31,2025-07-31,1069.68,Paid,8000.0,Low,Technology Solutions
1158,3682,COF6430366,2015-03-22,2016-03-21,1848.91,Paid,8000.0,Low,Consulting
1159,3683,COF9705464,2019-09-08,2020-09-07,1564.81,Paid,8000.0,Low,Financial Services
1160,3683,COF7322526,2020-09-08,2021-09-08,1513.46,Paid,8000.0,Low,Financial Services
1161,3684,COF9813049,2016-12-10,2017-12-10,3016.99,Paid,10000.0,Medium,Global Trade
1162,3685,COF7611245,2007-03-14,2008-03-13,1835.28,Delinquent,8000.0,Low,Financial Services
1163,3686,COF1561757,2011-05-20,2012-05-19,1750.83,Paid,8000.0,Low,Consulting
1164,3686,COF4737377,2012-05-20,2013-05-20,1920.36,Paid,8000.0,Low,Consulting
1165,3687,COF9221794,2024-05-05,2025-05-05,3464.18,Paid,10000.0,Medium,Retail Group
1166,3687,COF5562373,2025-05-06,2026-05-06,3605.51,Paid,10000.0,Medium,Retail Group
1167,3687,COF2484090,2026-05-07,2027-05-07,4730.49,Paid,10000.0,Medium,Retail Group
1168,3688,COF9301032,2020-05-21,2021-05-21,4310.48,Paid,10000.0,Medium,Entertainment Group
1169,3688,COF2788767,2021-05-22,2022-05-22,4300.44,Paid,10000.0,Medium,Entertainment Group
1170,3688,COF5488115,2022-05-23,2023-05-23,4624.52,Paid,10000.0,Medium,Entertainment Group
1171,3689,COF6797044,2016-10-14,2017-10-14,6688.76,Paid,12000.0,High,Construction
1172,3690,COF4045283,2013-05-24,2014-05-24,3053.23,Delinquent,10000.0,Medium,Retail Group
1173,3690,COF3940420,2014-05-25,2015-05-25,4448.77,Paid,10000.0,Medium,Retail Group
1174,3691,COF9977249,2006-10-09,2007-10-09,1558.43,Paid,8000.0,Low,Technology Solutions
1175,3691,COF9725817,2007-10-10,2008-10-09,1484.32,Paid,8000.0,Low,Technology Solutions
1176,3691,COF8277761,2008-10-10,2009-10-10,1092.23,Paid,8000.0,Low,Technology Solutions
1177,3692,COF9006571,2022-07-25,2023-07-25,1735.14,Paid,8000.0,Low,Consulting
1178,3692,COF7309643,2023-07-26,2024-07-25,1926.75,Paid,8000.0,Low,Consulting
1179,3693,COF3917943,2023-07-17,2024-07-16,1970.52,Paid,8000.0,Low,Consulting
1180,3693,COF3776451,2024-07-17,2025-07-17,1604.09,Paid,8000.0,Low,Consulting
1181,3694,COF2114690,2008-10-18,2009-10-18,1850.72,Delinquent,8000.0,Low,Consulting
1182,3694,COF2381935,2009-10-19,2010-10-19,1968.44,Paid,8000.0,Low,Consulting
1183,3694,COF2437207,2010-10-20,2011-10-20,1462.29,Paid,8000.0,Low,Consulting
1184,3695,COF7508588,2013-02-28,2014-02-28,4729.69,Paid,10000.0,Medium,Education
1185,3695,COF4286937,2014-03-01,2015-03-01,3873.51,Paid,10000.0,Medium,Education
1186,3696,COF2291390,2006-05-28,2007-05-28,1015.98,Paid,8000.0,Low,Financial Services
1187,3697,COF5116254,2010-09-17,2011-09-17,1319.75,Paid,8000.0,Low,Financial Services
1188,3698,COF3130878,2015-12-23,2016-12-22,1868.14,Paid,8000.0,Low,Consulting
1189,3699,COF2809851,2021-03-14,2022-03-14,6005.06,Paid,12000.0,High,Healthcare Partners
1190,3700,COF8640097,2007-12-20,2008-12-19,7134.32,Paid,12000.0,High,Manufacturing
1191,3700,COF6300187,2008-12-20,2009-12-20,7600.78,Paid,12000.0,High,Manufacturing
1192,3701,COF4041995,2019-05-21,2020-05-20,1870.95,Paid,8000.0,Low,Technology Solutions
1193,3701,COF7562994,2020-05-21,2021-05-21,1685.2,Paid,8000.0,Low,Technology Solutions
1194,3701,COF6860486,2021-05-22,2022-05-22,1603.22,Paid,8000.0,Low,Technology Solutions
1195,3702,COF3629192,2014-05-24,2015-05-24,1020.46,Paid,8000.0,Low,Consulting
1196,3702,COF9004749,2015-05-25,2016-05-24,1837.3,Paid,8000.0,Low,Consulting
1197,3702,COF2451162,2016-05-25,2017-05-25,1202.19,Paid,8000.0,Low,Consulting
1198,3703,COF7244691,2010-10-12,2011-10-12,1658.96,Paid,8000.0,Low,Financial Services
1199,3703,COF8695841,2011-10-13,2012-10-12,1077.16,Paid,8000.0,Low,Financial Services
1200,3704,COF5735656,2008-10-04,2009-10-04,1081.01,Paid,8000.0,Low,Technology Solutions
1201,3705,COF9876962,2022-08-24,2023-08-24,1148.49,Paid,8000.0,Low,Technology Solutions
1202,3705,COF7662820,2023-08-25,2024-08-24,1318.03,Paid,8000.0,Low,Technology Solutions
1203,3705,COF2274089,2024-08-25,2025-08-25,1629.68,Delinquent,8000.0,Low,Technology Solutions
1204,3706,COF6921306,2020-04-12,2021-04-12,3420.61,Paid,10000.0,Medium,Hospitality
1205,3706,COF1454298,2021-04-13,2022-04-13,3705.59,Paid,10000.0,Medium,Hospitality
1206,3706,COF2338374,2022-04-14,2023-04-14,3430.92,Paid,10000.0,Medium,Hospitality
1207,3707,COF4766620,2018-02-04,2019-02-04,1125.07,Paid,8000.0,Low,Consulting
1208,3707,COF1797791,2019-02-05,2020-02-05,1438.91,Paid,8000.0,Low,Consulting
1209,3708,COF5550639,2024-10-14,2025-10-14,1206.24,Paid,8000.0,Low,Consulting
1210,3708,COF9282357,2025-10-15,2026-10-15,1240.51,Delinquent,8000.0,Low,Consulting
1211,3708,COF6541601,2026-10-16,2027-10-16,1880.59,Paid,8000.0,Low,Consulting
1212,3709,COF6560524,2013-07-16,2014-07-16,4648.11,Paid,10000.0,Medium,Education
1213,3710,COF6291357,2018-10-05,2019-10-05,1652.13,Paid,8000.0,Low,Technology Solutions
1214,3711,COF9491587,2011-03-17,2012-03-16,1142.14,Paid,8000.0,Low,Financial Services
1215,3711,COF7076229,2012-03-17,2013-03-17,1119.32,Paid,8000.0,Low,Financial Services
1216,3711,COF4653884,2013-03-18,2014-03-18,1891.7,Paid,8000.0,Low,Financial Services
1217,3712,COF5245916,2016-12-05,2017-12-05,1630.02,Paid,8000.0,Low,Technology Solutions
1218,3712,COF2384149,2017-12-06,2018-12-06,1067.1,Paid,8000.0,Low,Technology Solutions
1219,3712,COF9408114,2018-12-07,2019-12-07,1062.89,Paid,8000.0,Low,Technology Solutions
1220,3713,COF2017951,2022-08-31,2023-08-31,1848.86,Paid,8000.0,Low,Financial Services
1221,3713,COF1245504,2023-09-01,2024-08-31,1078.65,Paid,8000.0,Low,Financial Services
1222,3714,COF7709638,2013-06-18,2014-06-18,1505.5,Paid,8000.0,Low,Financial Services
1223,3714,COF6054728,2014-06-19,2015-06-19,1066.89,Paid,8000.0,Low,Financial Services
1224,3715,COF2843909,2015-07-18,2016-07-17,1558.36,Paid,8000.0,Low,Financial Services
1225,3716,COF4077687,2012-02-18,2013-02-17,1278.72,Paid,8000.0,Low,Financial Services
1226,3717,COF9323724,2009-03-06,2010-03-06,1941.81,Paid,8000.0,Low,Financial Services
1227,3717,COF4082781,2010-03-07,2011-03-07,1819.34,Paid,8000.0,Low,Financial Services
1228,3717,COF1169272,2011-03-08,2012-03-07,1534.06,Paid,8000.0,Low,Financial Services
1229,3718,COF5530513,2013-01-26,2014-01-26,1626.9,Paid,8000.0,Low,Consulting
1230,3719,COF2399201,2013-03-23,2014-03-23,1187.93,Paid,8000.0,Low,Consulting
1231,3719,COF8305167,2014-03-24,2015-03-24,1440.32,Paid,8000.0,Low,Consulting
1232,3719,COF6784030,2015-03-25,2016-03-24,1055.5,Paid,8000.0,Low,Consulting
1233,3720,COF3670675,2008-06-03,2009-06-03,1443.69,Paid,8000.0,Low,Financial Services
1234,3721,COF8088254,2015-01-25,2016-01-25,3242.38,Paid,10000.0,Medium,Hospitality
1235,3721,COF1457877,2016-01-26,2017-01-25,3732.27,Paid,10000.0,Medium,Hospitality
1236,3722,COF3857394,2019-07-30,2020-07-29,6178.42,Paid,12000.0,High,Healthcare Partners
1237,3722,COF8054235,2020-07-30,2021-07-30,6206.15,Paid,12000.0,High,Healthcare Partners
1238,3722,COF6684243,2021-07-31,2022-07-31,6221.88,Paid,12000.0,High,Healthcare Partners
1239,3723,COF1852850,2012-10-18,2013-10-18,1139.69,Paid,8000.0,Low,Financial Services
1240,3723,COF4618854,2013-10-19,2014-10-19,1643.09,Paid,8000.0,Low,Financial Services
1241,3723,COF4949474,2014-10-20,2015-10-20,1874.48,Paid,8000.0,Low,Financial Services
1242,3724,COF4395588,2023-07-21,2024-07-20,4640.66,Paid,10000.0,Medium,Hospitality
1243,3724,COF8985827,2024-07-21,2025-07-21,4602.67,Paid,10000.0,Medium,Hospitality
1244,3724,COF3465752,2025-07-22,2026-07-22,4782.16,Paid,10000.0,Medium,Hospitality
1245,3725,COF8446383,2018-02-07,2019-02-07,1209.5,Paid,8000.0,Low,Technology Solutions
1246,3726,COF5838942,2014-07-15,2015-07-15,3777.8,Paid,10000.0,Medium,Retail Group
1247,3726,COF2702072,2015-07-16,2016-07-15,3809.67,Paid,10000.0,Medium,Retail Group
1248,3727,COF5989240,2022-05-15,2023-05-15,4125.84,Paid,10000.0,Medium,Education
1249,3727,COF8354809,2023-05-16,2024-05-15,3276.9,Paid,10000.0,Medium,Education
1250,3728,COF7912666,2018-08-26,2019-08-26,1351.36,Paid,8000.0,Low,Consulting
1251,3729,COF6795315,2009-09-06,2010-09-06,1519.06,Paid,8000.0,Low,Consulting
1252,3730,COF3102951,2022-08-19,2023-08-19,1684.4,Paid,8000.0,Low,Financial Services
1253,3731,COF9762358,2010-08-09,2011-08-09,1128.63,Paid,8000.0,Low,Financial Services
1254,3732,COF2087048,2012-02-16,2013-02-15,1660.26,Paid,8000.0,Low,Technology Solutions
1255,3733,COF1974120,2013-09-08,2014-09-08,4172.71,Paid,10000.0,Medium,Entertainment Group
1256,3733,COF3073314,2014-09-09,2015-09-09,4091.31,Paid,10000.0,Medium,Entertainment Group
1257,3734,COF1719986,2024-07-04,2025-07-04,1370.07,Paid,8000.0,Low,Financial Services
1258,3735,COF1602032,2023-04-17,2024-04-16,7181.31,Paid,12000.0,High,Healthcare Partners
1259,3735,COF3390505,2024-04-17,2025-04-17,6030.69,Paid,12000.0,High,Healthcare Partners
1260,3735,COF5082716,2025-04-18,2026-04-18,6738.1,Paid,12000.0,High,Healthcare Partners
1261,3736,COF2502069,2014-04-18,2015-04-18,1135.09,Paid,8000.0,Low,Consulting
1262,3736,COF5155617,2015-04-19,2016-04-18,1853.6,Paid,8000.0,Low,Consulting
1263,3737,COF4157065,2006-03-09,2007-03-09,7972.79,Paid,12000.0,High,Transportation
1264,3737,COF7151652,2007-03-10,2008-03-09,6533.75,Delinquent,12000.0,High,Transportation
1265,3737,COF3295650,2008-03-10,2009-03-10,6324.52,Paid,12000.0,High,Transportation
1266,3738,COF7249673,2018-09-08,2019-09-08,1930.59,Paid,8000.0,Low,Technology Solutions
1267,3738,COF2977026,2019-09-09,2020-09-08,1606.47,Paid,8000.0,Low,Technology Solutions
1268,3739,COF3410459,2009-11-23,2010-11-23,4478.06,Paid,10000.0,Medium,Entertainment Group
1269,3739,COF5052701,2010-11-24,2011-11-24,4562.57,Paid,10000.0,Medium,Entertainment Group
1270,3739,COF2632900,2011-11-25,2012-11-24,4524.48,Paid,10000.0,Medium,Entertainment Group
1271,3740,COF5292083,2014-10-03,2015-10-03,7679.12,Paid,12000.0,High,Construction
1272,3740,COF7045450,2015-10-04,2016-10-03,6594.43,Paid,12000.0,High,Construction
1273,3740,COF6180036,2016-10-04,2017-10-04,6290.24,Paid,12000.0,High,Construction
1274,3741,COF5464992,2006-09-27,2007-09-27,1057.36,Paid,8000.0,Low,Technology Solutions
1275,3742,COF1066219,2010-03-11,2011-03-11,1172.97,Paid,8000.0,Low,Financial Services
1276,3742,COF3072963,2011-03-12,2012-03-11,1155.85,Paid,8000.0,Low,Financial Services
1277,3743,COF1155114,2019-02-09,2020-02-09,1960.9,Paid,8000.0,Low,Consulting
